"dataset","n_items","n_persons","working_model","analysis_model","statistic","method","flagging_rate","null_rate","working_acceptable_fit"
"cdm_ecpe",28,2922,"2PL","1PL","W*","Bootstrap",0.0537303216974675,0.0500290896646133,TRUE
"cdm_ecpe",28,2922,"2PL","1PL","W*","Bootstrap by ability",0.0581793292265571,0.0500068446269678,TRUE
"cdm_ecpe",28,2922,"2PL","1PL","ECI_Z2*","Normal theory",0.0434633812457221,0.0384377138945927,TRUE
"cdm_ecpe",28,2922,"2PL","1PL","ECI_Z2*","Bootstrap",0.0571526351813826,0.0500239561943874,TRUE
"cdm_ecpe",28,2922,"2PL","1PL","ECI_Z2*","Bootstrap by ability",0.0622861054072553,0.0499144421629021,TRUE
"cdm_ecpe",28,2922,"2PL","1PL","ECI_Z4*","Normal theory",0.0465434633812457,0.0424041752224504,TRUE
"cdm_ecpe",28,2922,"2PL","1PL","ECI_Z4*","Bootstrap",0.0568104038329911,0.0499863107460643,TRUE
"cdm_ecpe",28,2922,"2PL","1PL","ECI_Z4*","Bootstrap by ability",0.0574948665297741,0.0501420260095825,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","lz*","Normal theory",0.0643394934976044,0.0524469541409993,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","lz*","Bootstrap",0.0626283367556468,0.0499435318275154,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","lz*","Bootstrap by ability",0.0622861054072553,0.0500325119780972,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","U*","Normal theory",0.0691307323750856,0.0569216290212183,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","U*","Bootstrap",0.0619438740588638,0.0499914442162902,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","U*","Bootstrap by ability",0.0622861054072553,0.0500530458590007,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","W*","Normal theory",0.0503080082135524,0.0459206023271732,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","W*","Bootstrap",0.0581793292265571,0.0500667351129363,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","W*","Bootstrap by ability",0.0612594113620808,0.050160848733744,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","ECI_Z2*","Normal theory",0.0403832991101985,0.0369267624914442,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","ECI_Z2*","Bootstrap",0.0550992470910335,0.0500273785078713,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","ECI_Z2*","Bootstrap by ability",0.054072553045859,0.0500667351129363,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","ECI_Z4*","Normal theory",0.0496235455167693,0.0450188227241615,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","ECI_Z4*","Bootstrap",0.0537303216974675,0.0500342231348391,TRUE
"cdm_ecpe",28,2922,"2PL","2PL","ECI_Z4*","Bootstrap by ability",0.0523613963039014,0.0501557152635181,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","lz*","Normal theory",0.0619438740588638,0.0521834360027379,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","lz*","Bootstrap",0.0598904859685147,0.0500290896646133,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","lz*","Bootstrap by ability",0.0592060232717317,0.0499709103353867,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","U*","Normal theory",0.068788501026694,0.0559428473648186,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","U*","Bootstrap",0.0605749486652977,0.0500171115674196,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","U*","Bootstrap by ability",0.0598904859685147,0.05,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","W*","Normal theory",0.0520191649555099,0.0454962354551677,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","W*","Bootstrap",0.0571526351813826,0.0500068446269678,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","W*","Bootstrap by ability",0.0561259411362081,0.0499845995893224,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","ECI_Z2*","Normal theory",0.0403832991101985,0.0373254620123203,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","ECI_Z2*","Bootstrap",0.0564681724845996,0.0500085557837098,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","ECI_Z2*","Bootstrap by ability",0.0550992470910335,0.0500752908966461,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","ECI_Z4*","Normal theory",0.0537303216974675,0.0453867214236824,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","ECI_Z4*","Bootstrap",0.0561259411362081,0.0500239561943874,TRUE
"cdm_ecpe",28,2922,"2PL","3PL","ECI_Z4*","Bootstrap by ability",0.0578370978781656,0.0499161533196441,TRUE
"cdm_timss03",23,757,"2PL","1PL","lz*","Normal theory",0.0660501981505945,0.0531638044914135,TRUE
"cdm_timss03",23,757,"2PL","1PL","lz*","Bootstrap",0.0634081902245707,0.0500396301188904,TRUE
"cdm_timss03",23,757,"2PL","1PL","lz*","Bootstrap by ability",0.0647291941875826,0.0499405548216645,TRUE
"cdm_timss03",23,757,"2PL","1PL","U*","Normal theory",0.0581241743725231,0.0535072655217966,TRUE
"cdm_timss03",23,757,"2PL","1PL","U*","Bootstrap",0.0568031704095112,0.0499405548216645,TRUE
"cdm_timss03",23,757,"2PL","1PL","U*","Bootstrap by ability",0.0581241743725231,0.0499603698811096,TRUE
"cdm_timss03",23,757,"2PL","1PL","W*","Normal theory",0.0541611624834875,0.0477014531043593,TRUE
"cdm_timss03",23,757,"2PL","1PL","W*","Bootstrap",0.0581241743725231,0.0500528401585205,TRUE
"cdm_timss03",23,757,"2PL","1PL","W*","Bootstrap by ability",0.0581241743725231,0.0501981505944518,TRUE
"cdm_timss03",23,757,"2PL","1PL","ECI_Z2*","Normal theory",0.0383091149273448,0.0368295904887715,TRUE
"cdm_timss03",23,757,"2PL","1PL","ECI_Z2*","Bootstrap",0.0607661822985469,0.0499933949801849,TRUE
"cdm_timss03",23,757,"2PL","1PL","ECI_Z2*","Bootstrap by ability",0.0607661822985469,0.0500858652575958,TRUE
"cdm_timss03",23,757,"2PL","1PL","ECI_Z4*","Normal theory",0.0488771466314399,0.043996036988111,TRUE
